oute,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Out The Window","Lifestyles Rock > Satellite Areas > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/111480015/out-the-window,4.0,-1,Boulder,V10,1,15,34.53933,-112.44944
Muad'Dib,"South Mountin Tower areas > South Mountain > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/107669815/muaddib,4.0,-1,Boulder,V5,1,15,33.34213,-112.07597
"Oh the Places You'll Go","North Suess > SEUSS AREA > Crozier Canyon > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/114330795/oh-the-places-youll-go,4.0,-1,Boulder,V4,1,,35.47647,-113.67962
"The Grinch","South Suess > SEUSS AREA > Crozier Canyon > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/114330817/the-grinch,4.0,-1,Boulder,V5,1,,35.47544,-113.6697
"Crystal Crimps","UFO Boulders > Icecapades > **Phoenix Areas > Central Arizona > Arizona",https://www.mountainproject.com/route/109276058/crystal-crimps,4.0,-1,Boulder,V3,1,20,33.74158,-112.17486
"Have A Gneiss Journey","Intuition Boulder > Mystic Boulders > Ventana Canyon Bouldering > Ventana Canyon > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106620159/have-a-gneiss-journey,4.0,-1,Boulder,V1+,1,,32.4471,-110.7905
Kickback,"The Workshop wall > The Workshop and Widow Maker Walls > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106232258/kickback,4.0,-1,Boulder,V5-6,1,,35.1134,-111.5806
"Split the Difference","The Workshop wall > The Workshop and Widow Maker Walls > The Ridge, aka Land of High > Lake Mary Areas > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106232226/split-the-difference,4.0,-1,Boulder,V4,1,18,35.1134,-111.5806
Frogger,"The Wave Area > Main Boulders > Groom Creek > Senator’s Highway Areas- Groom Creek > *Prescott Bouldering* > **Prescott Area > Central Arizona > Arizona",https://www.mountainproject.com/route/105962633/frogger,2.7,-1,Boulder,V3,1,10,34.46757,-112.43804
"The Whole Enchilada","Woodruff > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/116828983/the-whole-enchilada,4.0,-1,Boulder,V13,1,,34.74062,-110.01709
"Curse Traverse","Woodruff > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/116828917/curse-traverse,4.0,-1,Boulder,V13,1,,34.74062,-110.01709
"The Money Shot","Parking Area Bouldering > Priest Draw > Priest Draw > *Flagstaff Bouldering* > *Northern AZ Bouldering* > Northern Arizona > Arizona",https://www.mountainproject.com/route/106985635/the-money-shot,4.0,-1,Boulder,V3+,1,25,35.08201,-111.6004
